Produktnamn	BildURL1	BildURL2	BildURL3	ProduktURL
Canvastavla Hand Drawn Horse Mushroom - Tavla	https://pictufy.com/api/interiors.php?p=2493576&i=86	https://pictufy.com/api/interiors.php?p=2493576&i=1533	https://pictufy.com/api/interiors.php?p=2493576&i=1598	https://wamaya.local/product/canvastavla-hand-drawn-horse-mushroom-tavla/
Canvastavla Vintage Inky Cap Edible Mushroom Dark BW - Tavla	https://pictufy.com/api/interiors.php?p=2500734&i=1518	https://pictufy.com/api/interiors.php?p=2500734&i=1533	https://pictufy.com/api/interiors.php?p=2500734&i=1598	https://wamaya.local/product/canvastavla-vintage-inky-cap-edible-mushroom-dark-bw-tavla/
Canvastavla Vintage Inky Cap Edible Mushroom Black Background - Tavla	https://pictufy.com/api/interiors.php?p=2500733&i=1518	https://pictufy.com/api/interiors.php?p=2500733&i=1533	https://pictufy.com/api/interiors.php?p=2500733&i=1598	https://wamaya.local/product/canvastavla-vintage-inky-cap-edible-mushroom-black-background-tavla/
Canvastavla Hand Drawn Parasol Mushroom Brown - Tavla	https://pictufy.com/api/interiors.php?p=2500732&i=1518	https://pictufy.com/api/interiors.php?p=2500732&i=1533	https://pictufy.com/api/interiors.php?p=2500732&i=1598	https://wamaya.local/product/canvastavla-hand-drawn-parasol-mushroom-brown-tavla/
Canvastavla Field Mushroom - Tavla	https://pictufy.com/api/interiors.php?p=2500731&i=1518	https://pictufy.com/api/interiors.php?p=2500731&i=1533	https://pictufy.com/api/interiors.php?p=2500731&i=1598	https://wamaya.local/product/canvastavla-field-mushroom-tavla/
Canvastavla Violet Webcap Mushroom - Tavla	https://pictufy.com/api/interiors.php?p=2500730&i=1518	https://pictufy.com/api/interiors.php?p=2500730&i=1533	https://pictufy.com/api/interiors.php?p=2500730&i=1598	https://wamaya.local/product/canvastavla-violet-webcap-mushroom-tavla/
Canvastavla Agaricus Semiglobatus - Tavla	https://pictufy.com/api/interiors.php?p=2493592&i=1518	https://pictufy.com/api/interiors.php?p=2493592&i=1533	https://pictufy.com/api/interiors.php?p=2493592&i=1598	https://wamaya.local/product/canvastavla-agaricus-semiglobatus-tavla/
Canvastavla Study of Mushrooms (1880) Portrait Mode - Tavla	https://pictufy.com/api/interiors.php?p=2493582&i=1518	https://pictufy.com/api/interiors.php?p=2493582&i=1533	https://pictufy.com/api/interiors.php?p=2493582&i=1598	https://wamaya.local/product/canvastavla-study-of-mushrooms-1880-portrait-mode-tavla/
Canvastavla Study of Mushrooms (1880) Horizontal - Tavla	https://pictufy.com/api/interiors.php?p=2493581&i=86	https://pictufy.com/api/interiors.php?p=2493581&i=1533	https://pictufy.com/api/interiors.php?p=2493581&i=1598	https://wamaya.local/product/canvastavla-study-of-mushrooms-1880-horizontal-tavla/
Canvastavla Penny Bun (boletus Edulis) - Tavla	https://pictufy.com/api/interiors.php?p=2493580&i=1518	https://pictufy.com/api/interiors.php?p=2493580&i=1533	https://pictufy.com/api/interiors.php?p=2493580&i=1598	https://wamaya.local/product/canvastavla-penny-bun-boletus-edulis-tavla/
Canvastavla Ink Mushrooms (1915) - Tavla	https://pictufy.com/api/interiors.php?p=2493578&i=1518	https://pictufy.com/api/interiors.php?p=2493578&i=1533	https://pictufy.com/api/interiors.php?p=2493578&i=1598	https://wamaya.local/product/canvastavla-ink-mushrooms-1915-tavla/
Canvastavla Hand Drawn Rufous Milkcap Mushroom - Tavla	https://pictufy.com/api/interiors.php?p=2493577&i=1518	https://pictufy.com/api/interiors.php?p=2493577&i=1533	https://pictufy.com/api/interiors.php?p=2493577&i=1598	https://wamaya.local/product/canvastavla-hand-drawn-rufous-milkcap-mushroom-tavla/
Canvastavla Vintage Inky Cap Edible Mushroom BW Bright - Tavla	https://pictufy.com/api/interiors.php?p=2500735&i=1518	https://pictufy.com/api/interiors.php?p=2500735&i=1533	https://pictufy.com/api/interiors.php?p=2500735&i=1598	https://wamaya.local/product/canvastavla-vintage-inky-cap-edible-mushroom-bw-bright-tavla/
Canvastavla Vintage Agaricus Augustus Mushroom - Tavla	https://pictufy.com/api/interiors.php?p=2493176&i=1837	https://pictufy.com/api/interiors.php?p=2493176&i=1534	https://pictufy.com/api/interiors.php?p=2493176&i=1596	https://wamaya.local/product/canvastavla-vintage-agaricus-augustus-mushroom-tavla/
